#,Address,WL,Public,$BLOBZ
2,0x0c384932f442467C23F8980d40989De3386f1242,5,5,5000000
2,0x0c5FC2971D6234A6f66869c6Cf9b3e1F1cA48343,5,5,5000000
2,0x0D12338EA5db8c1732eFB9031cA4853C1128B1f0,5,5,5000000
2,0x0d1a1F9442D4D2e86d7c40723709057f0b6DBe33,5,5,5000000
2,0x0D33d24eea04a3F776733cDfE2c0cDA228E8e7cE,5,5,5000000
2,0x0d35fD6928CEd141e6aF4F5e58c02C79aEe7a9ae,5,5,5000000
2,0x0d76D5196dB89f0F30AF5771fcbb897a79Bb0402,5,5,5000000
2,0x0daa08c9A794F5bE5E0c2A0B5410b3Ca0EDD9cb9,5,5,5000000
2,0x0e19e07793aB72476990F639be823BD9fee4B99c,5,5,5000000
2,0x0E23F2A9c2b70Dbc4E8F900e69eC4ED82ff3F6D2,5,5,5000000
2,0x0e551a523BD88f3815a5D4CC6231fBd513B28b9a,5,5,5000000
2,0x0E9d6Ae20c982b43c219E9bEFd94ce2302264068,5,5,5000000
2,0x0eB19e452B1cEaAF66f48612351fe1907F7dD512,5,5,5000000
2,0x0EBA3c1E84866A65D99B116b2B3EA4529dA8916f,5,5,5000000
2,0x0ec41277f932cA8f1A7f657764522AeD4040b52b,5,5,5000000
2,0x0EEAc81cf8218691721A57CbEe4ed59770B02F8e,5,5,5000000
2,0x0EEF09F02c52CE98E94882E2733988b5328e289B,5,5,5000000
2,0x0eF6498F225ff805FFbB19701247AF4D2DbA5582,5,5,5000000
2,0x0F9093c9d7fAD2829180a745e75a075E92C0E086,5,5,5000000
2,0x0F9E9bfC9779246e5921e18a696CA9abD859c346,5,5,5000000
2,0x0FB6B07c2E7e9EaDa6548b3DA9997A19A9658841,5,5,5000000
2,0x0ff33fE9BFd306B4973d94c5C02D43fd28fdCae3,5,5,5000000
2,0x100d878FCe93e8dA7a0866f24425CB4f410c41eE,5,5,5000000
2,0x10495E143d79296d5222497b7245294dc9e2D596,5,5,5000000
2,0x10916913A9C76EFA87946f1abA7d180E04633a71,5,5,5000000
2,0x10b4ee99F35df1fDe98226eF7438Fec12909eF96,5,5,5000000
2,0x10b6e1a1EDA38cdFa5c6D92891cA69876d363501,5,5,5000000
2,0x10c1Af10e3703D377f69BA9f4D17A5f3b8D3F501,5,5,5000000
2,0x10cd9C2bE4764497E8c75f6a1827Cebd854E877f,5,5,5000000
2,0x10Fedd3a2eCC9ABbDE294C1d13e1f71EB71F3aad,5,5,5000000
2,0x1118003aeb105955eaC012884cB07B36e76e0181,5,5,5000000
2,0x1120324D8266d73cca3cc71CcCbd44D919e06E6a,5,5,5000000
2,0x112f0174E51F3039668a9df8783451772EC9DdA9,5,5,5000000
2,0x11315Cce8f009e4CB4234FFEAF2E860b84E5b0f6,5,5,5000000
