#,Address,WL,Public,$BLOBZ
6,0x070cB2B7372631002eec5c351c1E91CF2776316f,5,5,5000000
6,0x07203efD09F4cf434C477B568001b834D6c94762,5,5,5000000
6,0x0724AfFB7D9390F9Fe3284c932371C9348a9805f,5,5,5000000
6,0x073bd72a224946a368148399C1c8b558605D90bd,5,5,5000000
6,0x073Eb1bC0dD9388d2c5Be2909f35bb9953D418A2,5,5,5000000
6,0x0782b1906A15dDd2E4e8d1553efb176F392E01c6,5,5,5000000
6,0x07837D40f89eB13c4aFF62f20420129a9e92a646,5,5,5000000
6,0x07938d19759e8eC5efd8a6768E20D582e02d2FfB,5,5,5000000
6,0x07c1789c79FcA508464601D7732C240A29bAB997,5,5,5000000
6,0x080BE6ddb9d0E2Afa36F05B2199b06A08826EE4E,5,5,5000000
6,0x080CF7C73a6be337A2a2758a7095FF435e3dF70D,5,5,5000000
6,0x086E125D2cc21683435504026FFaFe96320Ce0b2,5,5,5000000
6,0x08852101478aa900543770a94C15d764e1A9A9D0,5,5,5000000
6,0x0891FaB9EA5688Fca5Ea63Fa5361ccc3ff47B451,5,5,5000000
6,0x089349438a427B8648D0Ce6f88b0185070FF8061,5,5,5000000
6,0x0898020F14d8C58bA2DB6a8188F54f0aA311fBff,5,5,5000000
6,0x089d0D1A4e7d02886667Db6D31E195819CCb5Ac1,5,5,5000000
6,0x08aEB45f6ffb4e958d939005BDA7a2cCc46a9d52,5,5,5000000
6,0x08F96c35293236AFf9DBc2B41778AEfe8B401149,5,5,5000000
6,0x090DCe878960B6BC0d5746f67aAa984BEA3D396B,5,5,5000000
6,0x0913FfFbC33D8BFf0dd5aC994F874f03ccb2532a,5,5,5000000
6,0x09230C437666275687669d30dfC43Ba21a70efFd,5,5,5000000
6,0x0949C8d6aa7aD809ea08216f327ecF8a3C6B6518,5,5,5000000
6,0x0981899D4A34717316A28ddCDA8DeDDc327093aa,5,5,5000000
6,0x098Eb7A11cEAa5F53022144E9A3c15604300fFb9,5,5,5000000
6,0x09b93AbCA90eC10B8572d257Ed691c8F82Fc1A3c,5,5,5000000
6,0x09E95552456b177d9eE103Ec96fCB37344a7CB3D,5,5,5000000
6,0x0a3234a2f7E0026364a6fa61b286c8b107E2CD3C,5,5,5000000
6,0x0A5036Fe5c1c091745Dd8E1892CE1E8E9F0a73a8,5,5,5000000
6,0x0a5503295a0cf364f39B9E175c4b08Ec8fc82D28,5,5,5000000
6,0x0a72E3504E67C058b2fADaa02C871Dc7aC34E751,5,5,5000000
6,0x0A8f3A57caCAFf7c1038f75aF9fb1F7d66469482,5,5,5000000
6,0x0a96FD6289bE1E1d8A2fAa7bCb975BbA3036B4A8,5,5,5000000
6,0x0abf6C46bf2EEd15DA3509Adb6EBa1a2285d8563,5,5,5000000
6,0x0aBF88A08E182F03EdB15985c60860D1D6435C54,5,5,5000000
6,0x0aC468501220Be9F9E9500bc0d4C36aFD3BEd7de,5,5,5000000
6,0x0ad4f4F3626E1e304Ec63C95C57912A87DCACd65,5,5,5000000
6,0x0AE12B81964df57596C724761701AEe57f91032F,5,5,5000000
6,0x0af5C186086D974FFCEa169F8202D82D471d64ea,5,5,5000000
6,0x0B01168b77425d8a4Df02F794d2ceD416EC6e7d4,5,5,5000000
6,0x0B13542836DAdd9566d2C1d95b9718edE7A55f20,5,5,5000000
6,0x0B2153f172e29112E41bb4612952568510077Ee9,5,5,5000000
6,0x0b493Af26Fa61E5FF84290cA934b7c85E3195505,5,5,5000000
6,0x0b743d5CB4ea6AD4Ce1FEb376986D5ee8Ea2C52E,5,5,5000000
6,0x0BbDE37A5B38714164bab3A921Bf485D69F1B2cC,5,5,5000000
6,0x0Be9cD8A94A328831B60a5245A154Ab23130E516,5,5,5000000
6,0x0bF1fEe0f3DBb4031e4C12E2985df93F267D53AB,5,5,5000000
6,0x0c035492f786FFf8Bf618a385eeB2ee1DEF246b0,5,5,5000000
6,0x0c384932f442467C23F8980d40989De3386f1242,5,5,5000000
6,0x0c5FC2971D6234A6f66869c6Cf9b3e1F1cA48343,5,5,5000000
6,0x0CD969C66AB682e7DA5Be514B7764bE055FCFd57,5,5,5000000
6,0x0D12338EA5db8c1732eFB9031cA4853C1128B1f0,5,5,5000000
6,0x0D128F54bF580788611D2ca0154a8ac509B3D5Be,5,5,5000000
6,0x0d1a1F9442D4D2e86d7c40723709057f0b6DBe33,5,5,5000000
6,0x0D33d24eea04a3F776733cDfE2c0cDA228E8e7cE,5,5,5000000
6,0x0d35fD6928CEd141e6aF4F5e58c02C79aEe7a9ae,5,5,5000000
6,0x0D511B78557f61FBcBB134e00d3ac4371b473D74,5,5,5000000
6,0x0d705B5c69785B4E1fEb6F776aEdEb5383e114Fa,5,5,5000000
6,0x0d76D5196dB89f0F30AF5771fcbb897a79Bb0402,5,5,5000000
6,0x0daa08c9A794F5bE5E0c2A0B5410b3Ca0EDD9cb9,5,5,5000000
6,0x0e023b3B3B328Ce5c4793F0A650aD961D6636ff3,5,5,5000000
6,0x0e19e07793aB72476990F639be823BD9fee4B99c,5,5,5000000
6,0x0E23F2A9c2b70Dbc4E8F900e69eC4ED82ff3F6D2,5,5,5000000
6,0x0e3330D8c670f99061Dbe4D00980715848b295E8,5,5,5000000
6,0x0e3cad8dd3C4F527E8bf8aa53F7d2b07F767800c,5,5,5000000
6,0x0e551a523BD88f3815a5D4CC6231fBd513B28b9a,5,5,5000000
6,0x0e6c5322296537155E45A819c75FeC8E96B1431a,5,5,5000000
6,0x0E7c3700B3ad9e741D787eC1dF337A6c71D45b57,5,5,5000000
6,0x0E9d6Ae20c982b43c219E9bEFd94ce2302264068,5,5,5000000
6,0x0eB19e452B1cEaAF66f48612351fe1907F7dD512,5,5,5000000
6,0x0EBA3c1E84866A65D99B116b2B3EA4529dA8916f,5,5,5000000
6,0x0ec41277f932cA8f1A7f657764522AeD4040b52b,5,5,5000000
6,0x0Ee5F43ec8C08e60bC07F8d1f12FCd6D6765e8F6,5,5,5000000
6,0x0EEAc81cf8218691721A57CbEe4ed59770B02F8e,5,5,5000000
6,0x0eEc442c632f5DA69CAC03439cecd6Cc001f1a71,5,5,5000000
6,0x0EEF09F02c52CE98E94882E2733988b5328e289B,5,5,5000000
6,0x0eF6498F225ff805FFbB19701247AF4D2DbA5582,5,5,5000000
6,0x0f306c6CB64b842F5b5854246FaC18EB6293311C,5,5,5000000
6,0x0f3C3349F89f11ca4035B0CcE3027E9Cc5FC0d55,5,5,5000000
6,0x0F5Bc1eF4253f2a49ADd1DD60148a04E1404ba77,5,5,5000000
6,0x0F6120AF65fC639c1EE7Dfb79271683E62b3b888,5,5,5000000
6,0x0F9093c9d7fAD2829180a745e75a075E92C0E086,5,5,5000000
6,0x0F9E9bfC9779246e5921e18a696CA9abD859c346,5,5,5000000
6,0x0fA6fdCf1556A74f2C67AE501e4eC070ef3dc5aA,5,5,5000000
6,0x0FB6B07c2E7e9EaDa6548b3DA9997A19A9658841,5,5,5000000
6,0x0ff33fE9BFd306B4973d94c5C02D43fd28fdCae3,5,5,5000000
6,0x1008983c934a52a6DA4F3d778ec3e1B72ad0232c,5,5,5000000
6,0x103bEAC36467E244ADcBee99987369Fa2a516B59,5,5,5000000
6,0x10495E143d79296d5222497b7245294dc9e2D596,5,5,5000000
6,0x104a15Abdac2F84d895383325373624b08E854d4,5,5,5000000
6,0x1069A65F9346Bd46c2Bd741A5113a2831ffFcce5,5,5,5000000
6,0x10916913A9C76EFA87946f1abA7d180E04633a71,5,5,5000000
6,0x10b182a4c557cFEa4A46dF17b49E919fBDd9Bf42,5,5,5000000
6,0x10b4ee99F35df1fDe98226eF7438Fec12909eF96,5,5,5000000
6,0x10b6e1a1EDA38cdFa5c6D92891cA69876d363501,5,5,5000000
6,0x10c1Af10e3703D377f69BA9f4D17A5f3b8D3F501,5,5,5000000
6,0x10cd9C2bE4764497E8c75f6a1827Cebd854E877f,5,5,5000000
6,0x10E3f7a0dfB0e7F500cA60061Dd0fD8325e71B2d,5,5,5000000
6,0x10F4735B68D97926B6825d54b3cC273a7617FBd2,5,5,5000000
6,0x10F4cDaFd02FeD96939DB7523050755bd8B18549,5,5,5000000
6,0x1118003aeb105955eaC012884cB07B36e76e0181,5,5,5000000
6,0x1120324D8266d73cca3cc71CcCbd44D919e06E6a,5,5,5000000
6,0x112f0174E51F3039668a9df8783451772EC9DdA9,5,5,5000000
6,0x11315Cce8f009e4CB4234FFEAF2E860b84E5b0f6,5,5,5000000
6,0x1143f263AfdF8c9421507686673Cbc866Cd61eCC,5,5,5000000
6,0x11925475EBd17C662409d2c0c352f144AB1cA637,5,5,5000000
